UID,Modified,Date,Annotator,Person norm.,Start Norm.,End Norm.,Duration Norm.,comment (if any)
,,2001_06_30_19_00_1.webm,_title_,,-1.00,,,
Yuji_11,-1,2001_06_30_19_00_1.webm,Yuji,Hatoyama,0:01:28,0:01:43,0:00:15,pictureonly
Minori_11,1,2001_06_30_19_00_1.webm,Minori,Hatoyama,0:01:28,0:02:32,0:01:04,picture&video
,,2001_08_23_19_00_1.webm,_title_,,-1.00,,,
Yuji_39,-1,2001_08_23_19_00_1.webm,Yuji,Koizumi,0:00:00,0:00:20,0:00:20,pictureonly
Minori_38,1,2001_08_23_19_00_1.webm,Minori,Koizumi,0:00:00,0:01:32,0:01:32,picture&video
Yuji_40,-1,2001_08_23_19_00_1.webm,Yuji,Koizumi,0:00:20,0:01:32,0:01:12,
,,2001_09_19_19_00_1.webm,_title_,,-1.00,,,
Minori_47,,2001_09_19_19_00_1.webm,Minori,Koizumi,0:00:11,0:00:29,0:00:18,picture
Yuji_49,,2001_09_19_19_00_1.webm,Yuji,Koizumi,0:00:11,0:00:29,0:00:18,pictureonly
Minori_48,,2001_09_19_19_00_1.webm,Minori,Kanzaki,0:00:43,0:00:48,0:00:05,
Yuji_50,,2001_09_19_19_00_1.webm,Yuji,Kanzaki,0:00:43,0:00:48,0:00:05,ruling party leader talks
Minori_49,,2001_09_19_19_00_1.webm,Minori,Koizumi,0:00:55,0:01:01,0:00:06,
Yuji_51,,2001_09_19_19_00_1.webm,Yuji,Koizumi,0:00:56,0:01:01,0:00:05,ruling party leader talks
Yuji_52,1,2001_09_19_19_00_1.webm,Yuji,Kanzaki,0:00:58,0:01:01,0:00:03,ruling party leader talks
Yuji_53,1,2001_09_19_19_00_1.webm,Yuji,Koizumi,0:01:03,0:01:04,0:00:01,ruling party leader talks
Minori_50,,2001_09_19_19_00_1.webm,Minori,Kanzaki,0:01:04,0:01:07,0:00:03,
Yuji_54,,2001_09_19_19_00_1.webm,Yuji,Kanzaki,0:01:04,0:01:08,0:00:04,ruling party leader talks
Minori_51,,2001_09_19_19_00_1.webm,Minori,Koizumi,0:01:06,0:01:10,0:00:04,
Yuji_55,,2001_09_19_19_00_1.webm,Yuji,Koizumi,0:01:06,0:01:10,0:00:04,ruling party leader talks
Minori_52,,2001_09_19_19_00_1.webm,Minori,Aso,0:01:18,0:01:19,0:00:01,
Yuji_56,,2001_09_19_19_00_1.webm,Yuji,Aso,0:01:18,0:01:20,0:00:02,ruling party leader talks
Minori_53,,2001_09_19_19_00_1.webm,Minori,Fukuda,0:01:26,0:01:28,0:00:02,
Yuji_57,,2001_09_19_19_00_1.webm,Yuji,Fukuda,0:01:26,0:01:29,0:00:03,"ruling party leader talks,a profile"
Yuji_60,1,2001_09_19_19_00_1.webm,Yuji,Aso,0:01:29,0:01:30,0:00:01,ruling party leader talks
Minori_55,,2001_09_19_19_00_1.webm,Minori,Kanzaki,0:01:29,0:01:31,0:00:02,
Yuji_59,,2001_09_19_19_00_1.webm,Yuji,Kanzaki,0:01:29,0:01:32,0:00:03,ruling party leader talks
Minori_54,,2001_09_19_19_00_1.webm,Minori,Koizumi,0:01:29,0:01:36,0:00:07,
Yuji_58,,2001_09_19_19_00_1.webm,Yuji,Koizumi,0:01:29,0:01:37,0:00:08,ruling party leader talks
Minori_56,,2001_09_19_19_00_1.webm,Minori,Kanzaki,0:01:39,0:01:40,0:00:01,
Yuji_62,,2001_09_19_19_00_1.webm,Yuji,Kanzaki,0:01:39,0:01:41,0:00:02,ruling party leader talks
Minori_57,,2001_09_19_19_00_1.webm,Minori,Koizumi,0:01:39,0:01:41,0:00:02,
Yuji_61,,2001_09_19_19_00_1.webm,Yuji,Koizumi,0:01:39,0:01:41,0:00:02,ruling party leader talks
Yuji_63,1,2001_09_19_19_00_1.webm,Yuji,Kanzaki,0:01:41,0:01:42,0:00:01,ruling party leader talks
Minori_58,1,2001_09_19_19_00_1.webm,Minori,Fukushima,0:02:45,0:02:49,0:00:04,picture
Minori_59,,2001_09_19_19_00_1.webm,Minori,Koizumi,0:02:53,0:03:41,0:00:48,
Yuji_64,,2001_09_19_19_00_1.webm,Yuji,Koizumi,0:02:54,0:03:41,0:00:47,ruling party leader talks
Yuji_65,,2001_09_19_19_00_1.webm,Yuji,Koizumi,0:04:33,0:05:10,0:00:37,ruling party leader talks
Minori_60,,2001_09_19_19_00_1.webm,Minori,Koizumi,0:04:34,0:05:10,0:00:36,
,,2001_10_13_19_00_3.webm,_title_,,-1.00,,,
Yuji_79,1,2001_10_13_19_00_3.webm,Yuji,Okada,0:06:11,0:06:15,0:00:04,
Minori_74,-1,2001_10_13_19_00_3.webm,Minori,Okada,0:06:11,0:06:20,0:00:09,
Minori_75,,2001_10_13_19_00_3.webm,Minori,Okada,0:07:16,0:07:22,0:00:06,
Yuji_80,,2001_10_13_19_00_3.webm,Yuji,Okada,0:07:17,0:07:22,0:00:05,
Minori_76,1,2001_10_13_19_00_3.webm,Minori,Hatoyama,0:08:45,0:09:16,0:00:31,picture&video
Yuji_81,-1,2001_10_13_19_00_3.webm,Yuji,Hatoyama,0:08:46,0:09:01,0:00:15,pictureonly
Yuji_82,-1,2001_10_13_19_00_3.webm,Yuji,Hatoyama,0:09:02,0:09:16,0:00:14,
,,2001_10_20_19_00_3.webm,_title_,,-1.00,,,
Minori_80,,2001_10_20_19_00_3.webm,Minori,Koizumi,0:04:12,0:04:17,0:00:05,
Yuji_86,,2001_10_20_19_00_3.webm,Yuji,Koizumi,0:04:12,0:04:17,0:00:05,
Yuji_87,,2001_10_20_19_00_3.webm,Yuji,Koizumi,0:05:08,0:05:17,0:00:09,
Minori_81,,2001_10_20_19_00_3.webm,Minori,Koizumi,0:05:09,0:05:17,0:00:08,
Minori_82,,2001_10_20_19_00_3.webm,Minori,Koizumi,0:05:33,0:05:34,0:00:01,
Yuji_88,,2001_10_20_19_00_3.webm,Yuji,Koizumi,0:05:33,0:05:34,0:00:01,
Yuji_89,,2001_10_20_19_00_3.webm,Yuji,Koizumi,0:05:43,0:05:54,0:00:11,
Minori_83,,2001_10_20_19_00_3.webm,Minori,Koizumi,0:05:43,0:05:55,0:00:12,
Minori_84,,2001_10_20_19_00_3.webm,Minori,Koizumi,0:06:08,0:06:43,0:00:35,
Yuji_90,,2001_10_20_19_00_3.webm,Yuji,Koizumi,0:06:09,0:06:43,0:00:34,
Minori_85,,2001_10_20_19_00_3.webm,Minori,Koizumi,0:06:51,0:07:01,0:00:10,
Yuji_91,,2001_10_20_19_00_3.webm,Yuji,Koizumi,0:06:51,0:07:02,0:00:11,
Minori_86,,2001_10_20_19_00_3.webm,Minori,Koizumi,0:07:07,0:07:10,0:00:03,
Yuji_92,,2001_10_20_19_00_3.webm,Yuji,Koizumi,0:07:08,0:07:09,0:00:01,
Minori_87,,2001_10_20_19_00_3.webm,Minori,Koizumi,0:08:34,0:08:59,0:00:25,
Yuji_93,,2001_10_20_19_00_3.webm,Yuji,Koizumi,0:08:35,0:08:58,0:00:23,
Minori_88,1,2001_10_20_19_00_3.webm,Minori,Koizumi,0:09:17,0:09:19,0:00:02,
,,2001_10_31_19_00_1.webm,_title_,,-1.00,,,
Yuji_96,1,2001_10_31_19_00_1.webm,Yuji,Ota,0:23:08,0:23:11,0:00:03,
Yuji_97,1,2001_10_31_19_00_1.webm,Yuji,Ota,0:23:21,0:23:27,0:00:06,
Yuji_98,-1,2001_10_31_19_00_1.webm,Yuji,Koizumi,0:23:43,0:23:45,0:00:02,
Minori_91,1,2001_10_31_19_00_1.webm,Minori,Koizumi,0:23:43,0:23:57,0:00:14,
Yuji_99,-1,2001_10_31_19_00_1.webm,Yuji,Koizumi,0:23:46,0:23:54,0:00:08,
Yuji_100,,2001_10_31_19_00_1.webm,Yuji,Kanzaki,0:23:57,0:24:26,0:00:29,
Minori_92,,2001_10_31_19_00_1.webm,Minori,Kanzaki,0:23:58,0:24:26,0:00:28,
Minori_94,,2001_10_31_19_00_1.webm,Minori,Kanzaki,0:25:12,0:25:24,0:00:12,
Minori_93,1,2001_10_31_19_00_1.webm,Minori,Koizumi,0:25:12,0:25:28,0:00:16,
Yuji_101,,2001_10_31_19_00_1.webm,Yuji,Kanzaki,0:25:13,0:25:22,0:00:09,
Yuji_102,1,2001_10_31_19_00_1.webm,Yuji,Koizumi,0:25:13,0:25:22,0:00:09,
Yuji_103,1,2001_10_31_19_00_1.webm,Yuji,Koizumi,0:25:25,0:25:28,0:00:03,
Minori_95,,2001_10_31_19_00_1.webm,Minori,Kanzaki,0:25:28,0:25:30,0:00:02,
Yuji_104,,2001_10_31_19_00_1.webm,Yuji,Kanzaki,0:25:28,0:25:30,0:00:02,
Minori_96,-1,2001_10_31_19_00_1.webm,Minori,Koizumi,0:25:30,0:25:31,0:00:01,
Yuji_105,1,2001_10_31_19_00_1.webm,Yuji,Koizumi,0:25:30,0:25:37,0:00:07,
Minori_97,,2001_10_31_19_00_1.webm,Minori,Kan,0:25:50,0:25:55,0:00:05,
Yuji_106,,2001_10_31_19_00_1.webm,Yuji,Kan,0:25:50,0:25:55,0:00:05,
Minori_98,1,2001_10_31_19_00_1.webm,Minori,Koizumi,0:27:24,0:27:48,0:00:24,
Yuji_107,-1,2001_10_31_19_00_1.webm,Yuji,Koizumi,0:27:25,0:27:30,0:00:05,
Yuji_108,-1,2001_10_31_19_00_1.webm,Yuji,Koizumi,0:27:31,0:27:38,0:00:07,
Yuji_109,-1,2001_10_31_19_00_1.webm,Yuji,Koizumi,0:27:39,0:27:49,0:00:10,
,,2001_11_22_19_00_1.webm,_title_,,-1.00,,,
Minori_116,,2001_11_22_19_00_1.webm,Minori,Kanzaki,0:00:00,0:00:23,0:00:23,picture
Yuji_127,,2001_11_22_19_00_1.webm,Yuji,Kanzaki,0:00:00,0:00:23,0:00:23,pictureonly
