video;face_name;start_frame;end_frame;total_frame;start_time;end_time;duration
/net/per610a/home/mvp/mvp_db/news7-lv/2001/2001_03_18_19_00/2001_03_18_19_00.mpg;Takenori KANZAKI.jpg;2813;5285;35961;140;264;124
/net/per610a/home/mvp/mvp_db/news7-lv/2001/2001_03_20_19_00/2001_03_20_19_00.mpg;Junichiro KOIZUMI.jpg;9429;10417;35949;471;521;50
/net/per610a/home/mvp/mvp_db/news7-lv/2001/2001_03_22_19_00/2001_03_22_19_00.mpg;Junichiro KOIZUMI.jpg;11421;11709;35949;571;585;14
/net/per610a/home/mvp/mvp_db/news7-lv/2001/2001_03_22_19_00/2001_03_22_19_00.mpg;Junichiro KOIZUMI.jpg;11805;11925;35949;590;596;6
/net/per610a/home/mvp/mvp_db/news7-lv/2001/2001_03_28_19_00/2001_03_28_19_00.mpg;Junichiro KOIZUMI.jpg;13781;13993;35981;689;700;11
/net/per610a/home/mvp/mvp_db/news7-lv/2001/2001_04_12_19_00/2001_04_12_19_00.mpg;Junichiro KOIZUMI.jpg;5765;5993;35949;288;299;11
/net/per610a/home/mvp/mvp_db/news7-lv/2001/2001_04_12_19_00/2001_04_12_19_00.mpg;Junichiro KOIZUMI.jpg;10345;10345;35949;517;517;0
/net/per610a/home/mvp/mvp_db/news7-lv/2001/2001_04_12_19_00/2001_04_12_19_00.mpg;Junichiro KOIZUMI.jpg;22189;22361;35949;1110;1119;9
/net/per610a/home/mvp/mvp_db/news7-lv/2001/2001_04_12_19_00/2001_04_12_19_00.mpg;Junichiro KOIZUMI.jpg;23673;23713;35949;1184;1186;2
/net/per610a/home/mvp/mvp_db/news7-lv/2001/2001_04_12_19_00/2001_04_12_19_00.mpg;Junichiro KOIZUMI.jpg;26453;26497;35949;1323;1325;2
/net/per610a/home/mvp/mvp_db/news7-lv/2001/2001_04_12_19_00/2001_04_12_19_00.mpg;Junichiro KOIZUMI.jpg;28705;28733;35949;1436;1437;1
/net/per610a/home/mvp/mvp_db/news7-lv/2001/2001_04_12_19_00/2001_04_12_19_00.mpg;Junichiro KOIZUMI.jpg;31725;31853;35949;1587;1594;7
/net/per610a/home/mvp/mvp_db/news7-lv/2001/2001_04_12_19_00/2001_04_12_19_00.mpg;Junichiro KOIZUMI.jpg;33905;34165;35949;1696;1709;13
/net/per610a/home/mvp/mvp_db/news7-lv/2001/2001_04_12_19_00/2001_04_12_19_00.mpg;Junichiro KOIZUMI.jpg;35685;35741;35949;1785;1788;3
/net/per610a/home/mvp/mvp_db/news7-lv/2001/2001_04_13_19_00/2001_04_13_19_00.mpg;Taro ASO.jpg;681;761;35949;34;38;4
/net/per610a/home/mvp/mvp_db/news7-lv/2001/2001_04_13_19_00/2001_04_13_19_00.mpg;Taro ASO.jpg;8637;10065;35949;432;503;71
/net/per610a/home/mvp/mvp_db/news7-lv/2001/2001_04_13_19_00/2001_04_13_19_00.mpg;Taro ASO.jpg;12985;13269;35949;649;664;15
/net/per610a/home/mvp/mvp_db/news7-lv/2001/2001_04_16_19_00/2001_04_16_19_00.mpg;Taro ASO.jpg;16457;16909;35969;823;846;23
/net/per610a/home/mvp/mvp_db/news7-lv/2001/2001_04_17_19_00/2001_04_17_19_00.mpg;Shizuka KAMEI.jpg;6141;6493;35969;307;324;17
/net/per610a/home/mvp/mvp_db/news7-lv/2001/2001_04_17_19_00/2001_04_17_19_00.mpg;Yukio HATOYAMA.jpg;6141;6421;35969;307;321;14
