video;face_name;start_frame;end_frame;total_frame;start_time;end_time;duration
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_05_04_56/2014_01_05_10_00.mpg;Shinzo ABE.jpg;1093;1181;209805;54;59;5
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_05_04_56/2014_01_05_10_00.mpg;Shinzo ABE.jpg;1257;1357;209805;62;67;5
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_05_04_56/2014_01_05_10_00.mpg;Shinzo ABE.jpg;21489;21777;209805;1075;1089;14
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_05_04_56/2014_01_05_10_00.mpg;Shinzo ABE.jpg;22729;22789;209805;1137;1140;3
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_05_04_56/2014_01_05_10_00.mpg;Shinzo ABE.jpg;39333;39365;209805;1968;1970;2
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_05_04_56/2014_01_05_10_00.mpg;Shinzo ABE.jpg;39629;39757;209805;1983;1989;6
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_05_04_56/2014_01_05_10_00.mpg;Shinzo ABE.jpg;138273;138273;209805;6920;6920;0
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_05_04_56/2014_01_05_10_00.mpg;Shinzo ABE.jpg;203917;204189;209805;10205;10218;13
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_05_04_56/2014_01_05_10_00.mpg;Shintaro ISHIHARA.jpg;1441;1557;209805;72;77;5
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_05_04_56/2014_01_05_10_00.mpg;Shintaro ISHIHARA.jpg;9317;9425;209805;466;471;5
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_05_04_56/2014_01_05_10_00.mpg;Shintaro ISHIHARA.jpg;9493;9649;209805;475;482;7
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_05_04_56/2014_01_05_10_00.mpg;Shintaro ISHIHARA.jpg;14653;14845;209805;733;742;9
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_05_04_56/2014_01_05_10_00.mpg;Shintaro ISHIHARA.jpg;14985;15033;209805;749;752;3
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_05_04_56/2014_01_05_10_00.mpg;Shintaro ISHIHARA.jpg;19293;19805;209805;965;991;26
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_05_04_56/2014_01_05_10_00.mpg;Shintaro ISHIHARA.jpg;19937;20097;209805;997;1005;8
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_05_04_56/2014_01_05_10_00.mpg;Shintaro ISHIHARA.jpg;28297;28733;209805;1416;1437;21
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_05_04_56/2014_01_05_10_00.mpg;Shintaro ISHIHARA.jpg;28929;29145;209805;1447;1458;11
